,Age,Cabin,Embarked,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Survived
0,34,M,Q,7.8292,0,892,3,male,0,0
1,47,M,S,7.0,0,893,3,female,1,1
2,62,M,Q,9.6875,0,894,2,male,0,0
3,27,M,S,8.6625,0,895,3,male,0,0
4,22,M,S,12.2875,1,896,3,female,1,1
5,14,M,S,9.225,0,897,3,male,0,0
6,30,M,Q,7.6292,0,898,3,female,0,1
7,26,M,S,29.0,1,899,2,male,1,0
8,18,M,C,7.2292,0,900,3,female,0,1
9,21,M,S,24.15,0,901,3,male,2,0
10,29,M,S,7.8958,0,902,3,male,0,0
11,46,M,S,26.0,0,903,1,male,0,0
12,23,B,S,82.2667,0,904,1,female,1,1
13,63,M,S,26.0,0,905,2,male,1,0
14,47,E,S,61.175,0,906,1,female,1,1
15,24,M,C,27.7208,0,907,2,female,1,1
16,35,M,Q,12.35,0,908,2,male,0,0
17,21,M,C,7.225,0,909,3,male,0,0
18,27,M,S,7.925,0,910,3,female,1,1
19,45,M,C,7.225,0,911,3,female,0,1
20,55,M,C,59.4,0,912,1,male,1,0
21,9,M,S,3.1708,1,913,3,male,0,0
22,29,M,S,31.6833,0,914,1,female,0,1
23,21,M,C,61.3792,1,915,1,male,0,0
24,48,B,C,262.375,3,916,1,female,1,1
25,50,M,S,14.5,0,917,3,male,1,0
26,22,B,C,61.9792,1,918,1,female,0,1
27,22,M,C,7.225,0,919,3,male,0,0
28,41,A,S,30.5,0,920,1,male,0,0
29,29,M,C,21.6792,0,921,3,male,2,0
30,50,M,S,26.0,0,922,2,male,1,0
31,24,M,S,31.5,0,923,2,male,2,0
32,33,M,S,20.575,2,924,3,female,1,1
33,29,M,S,23.45,2,925,3,female,1,1
34,30,C,C,57.75,0,926,1,male,1,0
35,18,M,C,7.2292,0,927,3,male,0,0
36,29,M,S,8.05,0,928,3,female,0,1
37,21,M,S,8.6625,0,929,3,female,0,1
38,25,M,S,9.5,0,930,3,male,0,0
39,29,M,S,56.4958,0,931,3,male,0,0
40,39,M,C,13.4167,1,932,3,male,0,0
41,29,D,S,26.55,0,933,1,male,0,0
42,41,M,S,7.85,0,934,3,male,0,0
