,Age,Cabin,Embarked,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Survived
0,22,M,S,7.25,0,1,3,male,1,0
1,38,C,C,71.2833,0,2,1,female,1,1
2,26,M,S,7.925,0,3,3,female,0,1
3,35,C,S,53.1,0,4,1,female,1,1
4,35,M,S,8.05,0,5,3,male,0,0
5,29,M,Q,8.4583,0,6,3,male,0,0
6,54,E,S,51.8625,0,7,1,male,0,0
7,2,M,S,21.075,1,8,3,male,3,0
8,27,M,S,11.1333,2,9,3,female,0,1
9,14,M,C,30.0708,0,10,2,female,1,1
10,4,G,S,16.7,1,11,3,female,1,1
11,58,C,S,26.55,0,12,1,female,0,1
12,20,M,S,8.05,0,13,3,male,0,0
13,39,M,S,31.275,5,14,3,male,1,0
14,14,M,S,7.8542,0,15,3,female,0,0
15,55,M,S,16.0,0,16,2,female,0,1
16,2,M,Q,29.125,1,17,3,male,4,0
17,29,M,S,13.0,0,18,2,male,0,1
18,31,M,S,18.0,0,19,3,female,1,0
19,29,M,C,7.225,0,20,3,female,0,1
20,35,M,S,26.0,0,21,2,male,0,0
21,34,D,S,13.0,0,22,2,male,0,1
22,15,M,Q,8.0292,0,23,3,female,0,1
23,28,A,S,35.5,0,24,1,male,0,1
24,8,M,S,21.075,1,25,3,female,3,0
25,38,M,S,31.3875,5,26,3,female,1,1
26,29,M,C,7.225,0,27,3,male,0,0
27,19,C,S,263.0,2,28,1,male,3,0
28,29,M,Q,7.8792,0,29,3,female,0,1
29,29,M,S,7.8958,0,30,3,male,0,0
30,40,M,C,27.7208,0,31,1,male,0,0
31,29,B,C,146.5208,0,32,1,female,1,1
32,29,M,Q,7.75,0,33,3,female,0,1
33,66,M,S,10.5,0,34,2,male,0,0
34,28,M,C,82.1708,0,35,1,male,1,0
35,42,M,S,52.0,0,36,1,male,1,0
36,29,M,C,7.2292,0,37,3,male,0,1
37,21,M,S,8.05,0,38,3,male,0,0
38,18,M,S,18.0,0,39,3,female,2,0
39,14,M,C,11.2417,0,40,3,female,1,1
40,40,M,S,9.475,0,41,3,female,1,0
41,27,M,S,21.0,0,42,2,female,1,0
42,29,M,C,7.8958,0,43,3,male,0,0
43,3,M,C,41.5792,2,44,2,female,1,1
44,19,M,Q,7.8792,0,45,3,female,0,1
45,29,M,S,8.05,0,46,3,male,0,0
46,29,M,Q,15.5,0,47,3,male,1,0
47,29,M,Q,7.75,0,48,3,female,0,1
48,29,M,C,21.6792,0,49,3,male,2,0
49,18,M,S,17.8,0,50,3,female,1,0
50,7,M,S,39.6875,1,51,3,male,4,0
51,21,M,S,7.8,0,52,3,male,0,0
52,49,D,C,76.7292,0,53,1,female,1,1
53,29,M,S,26.0,0,54,2,female,1,1
54,65,B,C,61.9792,1,55,1,male,0,0
55,29,C,S,35.5,0,56,1,male,0,1
56,21,M,S,10.5,0,57,2,female,0,1
57,28,M,C,7.2292,0,58,3,male,0,0
58,5,M,S,27.75,2,59,2,female,1,1
59,11,M,S,46.9,2,60,3,male,5,0
60,22,M,C,7.2292,0,61,3,male,0,0
61,38,B,S,80.0,0,62,1,female,0,1
62,45,C,S,83.475,0,63,1,male,1,0
63,4,M,S,27.9,2,64,3,male,3,0
64,29,M,C,27.7208,0,65,1,male,0,0
65,29,M,C,15.2458,1,66,3,male,1,1
66,29,F,S,10.5,0,67,2,female,0,1
67,19,M,S,8.1583,0,68,3,male,0,0
68,17,M,S,7.925,2,69,3,female,4,1
69,26,M,S,8.6625,0,70,3,male,2,0
70,32,M,S,10.5,0,71,2,male,0,0
71,16,M,S,46.9,2,72,3,female,5,0
72,21,M,S,73.5,0,73,2,male,0,0
73,26,M,C,14.4542,0,74,3,male,1,0
74,32,M,S,56.4958,0,75,3,male,0,1
75,25,F,S,7.65,0,76,3,male,0,0
76,29,M,S,7.8958,0,77,3,male,0,0
77,29,M,S,8.05,0,78,3,male,0,0
78,0,M,S,29.0,2,79,2,male,0,1
79,30,M,S,12.475,0,80,3,female,0,1
80,22,M,S,9.0,0,81,3,male,0,0
81,29,M,S,9.5,0,82,3,male,0,1
82,29,M,Q,7.7875,0,83,3,female,0,1
83,28,M,S,47.1,0,84,1,male,0,0
84,17,M,S,10.5,0,85,2,female,0,1
85,33,M,S,15.85,0,86,3,female,3,1
86,16,M,S,34.375,3,87,3,male,1,0
87,29,M,S,8.05,0,88,3,male,0,0
88,23,C,S,263.0,2,89,1,female,3,1
89,24,M,S,8.05,0,90,3,male,0,0
90,29,M,S,8.05,0,91,3,male,0,0
91,20,M,S,7.8542,0,92,3,male,0,0
92,46,E,S,61.175,0,93,1,male,1,0
93,26,M,S,20.575,2,94,3,male,1,0
94,59,M,S,7.25,0,95,3,male,0,0
95,29,M,S,8.05,0,96,3,male,0,0
96,71,A,C,34.6542,0,97,1,male,0,0
97,23,D,C,63.3583,1,98,1,male,0,1
98,34,M,S,23.0,1,99,2,female,0,1
99,34,M,S,26.0,0,100,2,male,1,0
100,28,M,S,7.8958,0,101,3,female,0,0
101,29,M,S,7.8958,0,102,3,male,0,0
102,21,D,S,77.2875,1,103,1,male,0,0
103,33,M,S,8.6542,0,104,3,male,0,0
104,37,M,S,7.925,0,105,3,male,2,0
105,28,M,S,7.8958,0,106,3,male,0,0
106,21,M,S,7.65,0,107,3,female,0,1
107,29,M,S,7.775,0,108,3,male,0,1
108,38,M,S,7.8958,0,109,3,male,0,0
109,29,M,Q,24.15,0,110,3,female,1,1
110,47,C,S,52.0,0,111,1,male,0,0
111,14,M,C,14.4542,0,112,3,female,1,0
112,22,M,S,8.05,0,113,3,male,0,0
113,20,M,S,9.825,0,114,3,female,1,0
114,17,M,C,14.4583,0,115,3,female,0,0
115,21,M,S,7.925,0,116,3,male,0,0
116,70,M,Q,7.75,0,117,3,male,0,0
117,29,M,S,21.0,0,118,2,male,1,0
118,24,B,C,247.5208,1,119,1,male,0,0
119,2,M,S,31.275,2,120,3,female,4,0
120,21,M,S,73.5,0,121,2,male,2,0
121,29,M,S,8.05,0,122,3,male,0,0
122,32,M,C,30.0708,0,123,2,male,1,0
123,32,E,S,13.0,0,124,2,female,0,1
124,54,D,S,77.2875,1,125,1,male,0,0
125,12,M,C,11.2417,0,126,3,male,1,1
126,29,M,Q,7.75,0,127,3,male,0,0
127,24,M,S,7.1417,0,128,3,male,0,1
128,29,F,C,22.3583,1,129,3,female,1,1
129,45,M,S,6.975,0,130,3,male,0,0
130,33,M,C,7.8958,0,131,3,male,0,0
131,20,M,S,7.05,0,132,3,male,0,0
132,47,M,S,14.5,0,133,3,female,1,0
133,29,M,S,26.0,0,134,2,female,1,1
134,25,M,S,13.0,0,135,2,male,0,0
135,23,M,C,15.0458,0,136,2,male,0,0
136,19,D,S,26.2833,2,137,1,female,0,1
137,37,C,S,53.1,0,138,1,male,1,0
138,16,M,S,9.2167,0,139,3,male,0,0
139,24,B,C,79.2,0,140,1,male,0,0
140,29,M,C,15.2458,2,141,3,female,0,0
141,22,M,S,7.75,0,142,3,female,0,1
142,24,M,S,15.85,0,143,3,female,1,1
143,19,M,Q,6.75,0,144,3,male,0,0
144,18,M,S,11.5,0,145,2,male,0,0
145,19,M,S,36.75,1,146,2,male,1,0
146,27,M,S,7.7958,0,147,3,male,0,1
147,9,M,S,34.375,2,148,3,female,2,0
148,36,F,S,26.0,2,149,2,male,0,0
149,42,M,S,13.0,0,150,2,male,0,0
150,51,M,S,12.525,0,151,2,male,0,0
151,22,C,S,66.6,0,152,1,female,1,1
152,55,M,S,8.05,0,153,3,male,0,0
153,40,M,S,14.5,2,154,3,male,0,0
154,29,M,S,7.3125,0,155,3,male,0,0
155,51,M,C,61.3792,1,156,1,male,0,0
156,16,M,Q,7.7333,0,157,3,female,0,1
157,30,M,S,8.05,0,158,3,male,0,0
158,29,M,S,8.6625,0,159,3,male,0,0
159,29,M,S,69.55,2,160,3,male,8,0
160,44,M,S,16.1,1,161,3,male,0,0
161,40,M,S,15.75,0,162,2,female,0,1
162,26,M,S,7.775,0,163,3,male,0,0
163,17,M,S,8.6625,0,164,3,male,0,0
164,1,M,S,39.6875,1,165,3,male,4,0
165,9,M,S,20.525,2,166,3,male,0,1
166,29,E,S,55.0,1,167,1,female,0,1
167,45,M,S,27.9,4,168,3,female,1,0
168,29,M,S,25.925,0,169,1,male,0,0
169,28,M,S,56.4958,0,170,3,male,0,0
170,61,B,S,33.5,0,171,1,male,0,0
171,4,M,Q,29.125,1,172,3,male,4,0
172,1,M,S,11.1333,1,173,3,female,1,1
173,21,M,S,7.925,0,174,3,male,0,0
174,56,A,C,30.6958,0,175,1,male,0,0
175,18,M,S,7.8542,1,176,3,male,1,0
176,29,M,S,25.4667,1,177,3,male,3,0
177,50,C,C,28.7125,0,178,1,female,0,0
178,30,M,S,13.0,0,179,2,male,0,0
179,36,M,S,0.0,0,180,3,male,0,0
180,29,M,S,69.55,2,181,3,female,8,0
181,29,M,C,15.05,0,182,2,male,0,0
182,9,M,S,31.3875,2,183,3,male,4,0
183,1,F,S,39.0,1,184,2,male,2,1
