,Age,Cabin,Embarked,Fare,Fsize,PassengerId,Pclass,Sex,Died,Survived
0,22,M,S,7.25,2,1,3,male,Dead,0
1,38,C,C,71.2833,2,2,1,female,Alive,1
2,26,M,S,7.925,1,3,3,female,Alive,1
3,35,C,S,53.1,2,4,1,female,Alive,1
4,35,M,S,8.05,1,5,3,male,Dead,0
5,29,M,Q,8.4583,1,6,3,male,Dead,0
6,54,E,S,51.8625,1,7,1,male,Dead,0
7,2,M,S,21.075,5,8,3,male,Dead,0
8,27,M,S,11.1333,3,9,3,female,Alive,1
9,14,M,C,30.0708,2,10,2,female,Alive,1
10,4,G,S,16.7,3,11,3,female,Alive,1
11,58,C,S,26.55,1,12,1,female,Alive,1
12,20,M,S,8.05,1,13,3,male,Dead,0
13,39,M,S,31.275,7,14,3,male,Dead,0
14,14,M,S,7.8542,1,15,3,female,Dead,0
15,55,M,S,16.0,1,16,2,female,Alive,1
16,2,M,Q,29.125,6,17,3,male,Dead,0
17,29,M,S,13.0,1,18,2,male,Alive,1
18,31,M,S,18.0,2,19,3,female,Dead,0
19,29,M,C,7.225,1,20,3,female,Alive,1
20,35,M,S,26.0,1,21,2,male,Dead,0
21,34,D,S,13.0,1,22,2,male,Alive,1
22,15,M,Q,8.0292,1,23,3,female,Alive,1
23,28,A,S,35.5,1,24,1,male,Alive,1
24,8,M,S,21.075,5,25,3,female,Dead,0
25,38,M,S,31.3875,7,26,3,female,Alive,1
26,29,M,C,7.225,1,27,3,male,Dead,0
27,19,C,S,263.0,6,28,1,male,Dead,0
28,29,M,Q,7.8792,1,29,3,female,Alive,1
29,29,M,S,7.8958,1,30,3,male,Dead,0
30,40,M,C,27.7208,1,31,1,male,Dead,0
31,29,B,C,146.5208,2,32,1,female,Alive,1
32,29,M,Q,7.75,1,33,3,female,Alive,1
33,66,M,S,10.5,1,34,2,male,Dead,0
34,28,M,C,82.1708,2,35,1,male,Dead,0
35,42,M,S,52.0,2,36,1,male,Dead,0
36,29,M,C,7.2292,1,37,3,male,Alive,1
37,21,M,S,8.05,1,38,3,male,Dead,0
38,18,M,S,18.0,3,39,3,female,Dead,0
39,14,M,C,11.2417,2,40,3,female,Alive,1
40,40,M,S,9.475,2,41,3,female,Dead,0
41,27,M,S,21.0,2,42,2,female,Dead,0
42,29,M,C,7.8958,1,43,3,male,Dead,0
43,3,M,C,41.5792,4,44,2,female,Alive,1
44,19,M,Q,7.8792,1,45,3,female,Alive,1
45,29,M,S,8.05,1,46,3,male,Dead,0
46,29,M,Q,15.5,2,47,3,male,Dead,0
47,29,M,Q,7.75,1,48,3,female,Alive,1
48,29,M,C,21.6792,3,49,3,male,Dead,0
49,18,M,S,17.8,2,50,3,female,Dead,0
50,7,M,S,39.6875,6,51,3,male,Dead,0
51,21,M,S,7.8,1,52,3,male,Dead,0
52,49,D,C,76.7292,2,53,1,female,Alive,1
53,29,M,S,26.0,2,54,2,female,Alive,1
54,65,B,C,61.9792,2,55,1,male,Dead,0
55,29,C,S,35.5,1,56,1,male,Alive,1
56,21,M,S,10.5,1,57,2,female,Alive,1
57,28,M,C,7.2292,1,58,3,male,Dead,0
58,5,M,S,27.75,4,59,2,female,Alive,1
59,11,M,S,46.9,8,60,3,male,Dead,0
60,22,M,C,7.2292,1,61,3,male,Dead,0
61,38,B,S,80.0,1,62,1,female,Alive,1
62,45,C,S,83.475,2,63,1,male,Dead,0
63,4,M,S,27.9,6,64,3,male,Dead,0
64,29,M,C,27.7208,1,65,1,male,Dead,0
65,29,M,C,15.2458,3,66,3,male,Alive,1
66,29,F,S,10.5,1,67,2,female,Alive,1
67,19,M,S,8.1583,1,68,3,male,Dead,0
68,17,M,S,7.925,7,69,3,female,Alive,1
69,26,M,S,8.6625,3,70,3,male,Dead,0
70,32,M,S,10.5,1,71,2,male,Dead,0
71,16,M,S,46.9,8,72,3,female,Dead,0
72,21,M,S,73.5,1,73,2,male,Dead,0
73,26,M,C,14.4542,2,74,3,male,Dead,0
74,32,M,S,56.4958,1,75,3,male,Alive,1
75,25,F,S,7.65,1,76,3,male,Dead,0
76,29,M,S,7.8958,1,77,3,male,Dead,0
77,29,M,S,8.05,1,78,3,male,Dead,0
78,0,M,S,29.0,3,79,2,male,Alive,1
79,30,M,S,12.475,1,80,3,female,Alive,1
80,22,M,S,9.0,1,81,3,male,Dead,0
81,29,M,S,9.5,1,82,3,male,Alive,1
82,29,M,Q,7.7875,1,83,3,female,Alive,1
83,28,M,S,47.1,1,84,1,male,Dead,0
84,17,M,S,10.5,1,85,2,female,Alive,1
85,33,M,S,15.85,4,86,3,female,Alive,1
86,16,M,S,34.375,5,87,3,male,Dead,0
87,29,M,S,8.05,1,88,3,male,Dead,0
88,23,C,S,263.0,6,89,1,female,Alive,1
89,24,M,S,8.05,1,90,3,male,Dead,0
90,29,M,S,8.05,1,91,3,male,Dead,0
91,20,M,S,7.8542,1,92,3,male,Dead,0
92,46,E,S,61.175,2,93,1,male,Dead,0
93,26,M,S,20.575,4,94,3,male,Dead,0
94,59,M,S,7.25,1,95,3,male,Dead,0
95,29,M,S,8.05,1,96,3,male,Dead,0
96,71,A,C,34.6542,1,97,1,male,Dead,0
97,23,D,C,63.3583,2,98,1,male,Alive,1
98,34,M,S,23.0,2,99,2,female,Alive,1
99,34,M,S,26.0,2,100,2,male,Dead,0
100,28,M,S,7.8958,1,101,3,female,Dead,0
101,29,M,S,7.8958,1,102,3,male,Dead,0
102,21,D,S,77.2875,2,103,1,male,Dead,0
103,33,M,S,8.6542,1,104,3,male,Dead,0
104,37,M,S,7.925,3,105,3,male,Dead,0
105,28,M,S,7.8958,1,106,3,male,Dead,0
106,21,M,S,7.65,1,107,3,female,Alive,1
107,29,M,S,7.775,1,108,3,male,Alive,1
108,38,M,S,7.8958,1,109,3,male,Dead,0
109,29,M,Q,24.15,2,110,3,female,Alive,1
110,47,C,S,52.0,1,111,1,male,Dead,0
111,14,M,C,14.4542,2,112,3,female,Dead,0
112,22,M,S,8.05,1,113,3,male,Dead,0
113,20,M,S,9.825,2,114,3,female,Dead,0
114,17,M,C,14.4583,1,115,3,female,Dead,0
115,21,M,S,7.925,1,116,3,male,Dead,0
116,70,M,Q,7.75,1,117,3,male,Dead,0
